baseline,model,n_real,seed,epochs,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,simple_cnn,50,1,20,file_id_5,5,150,313,0.7284345047923323,0.7019147017098385,0.7109375,0.549618320610687,0.8451882845188284,"[[91,18,14],[30,36,5],[12,6,101]]"
real_only,simple_cnn,50,2,20,file_id_5,5,150,313,0.7476038338658147,0.7307092117592653,0.8015873015873016,0.6330935251798561,0.7574468085106383,"[[101,4,18],[18,44,9],[10,20,89]]"
real_only,simple_cnn,50,3,20,file_id_5,5,150,313,0.6293929712460063,0.6237628522253592,0.5812807881773399,0.618421052631579,0.6715867158671587,"[[59,13,51],[14,47,10],[7,21,91]]"
real_only,simple_cnn,50,4,20,file_id_5,5,150,313,0.5239616613418531,0.49324082889177084,0.2631578947368421,0.44537815126050423,0.7711864406779662,"[[20,86,17],[9,53,9],[0,28,91]]"
real_only,simple_cnn,50,5,20,file_id_5,5,150,313,0.7124600638977636,0.7054768591583908,0.7433628318584071,0.6419753086419753,0.7310924369747899,"[[84,14,25],[12,52,7],[7,25,87]]"
real_only,simple_cnn,50,6,20,file_id_5,5,150,313,0.7156549520766773,0.679834785097943,0.7368421052631579,0.48484848484848486,0.8178137651821862,"[[91,19,13],[25,32,14],[8,10,101]]"
real_only,simple_cnn,50,7,20,file_id_5,5,150,313,0.7667731629392971,0.7727915279587011,0.726530612244898,0.8085106382978723,0.7833333333333333,"[[89,10,24],[11,57,3],[22,3,94]]"
real_only,simple_cnn,50,8,20,file_id_5,5,150,313,0.7667731629392971,0.7601632018269155,0.7450980392156863,0.7228915662650602,0.8125,"[[76,22,25],[3,60,8],[2,13,104]]"
real_only,simple_cnn,50,9,20,file_id_5,5,150,313,0.7348242811501597,0.7214181287062438,0.7046632124352331,0.6506024096385542,0.8089887640449438,"[[68,30,25],[2,54,15],[0,11,108]]"
real_only,simple_cnn,full,0,20,file_id_10,10,1480,257,0.4785992217898833,0.49382691398944417,0.3184713375796178,0.3448275862068966,0.8181818181818182,"[[25,45,1],[61,35,23],[0,4,63]]"
real_only,simple_cnn,10,0,20,file_id_10,10,30,257,0.42023346303501946,0.3138453242259471,0.0,0.5259515570934256,0.4155844155844156,"[[0,59,12],[0,76,43],[0,35,32]]"
real_only,simple_cnn,10,1,20,file_id_10,10,30,257,0.4396887159533074,0.24391588994272173,0.05263157894736842,0.6050420168067226,0.07407407407407407,"[[2,66,3],[3,108,8],[0,64,3]]"
real_only,simple_cnn,10,2,20,file_id_10,10,30,257,0.5525291828793775,0.4327626977047137,0.0,0.6090225563909775,0.6892655367231638,"[[0,60,11],[0,81,38],[0,6,61]]"
real_only,simple_cnn,10,3,20,file_id_10,10,30,257,0.40077821011673154,0.30933355077190694,0.0,0.3744292237442922,0.5535714285714286,"[[0,54,17],[0,41,78],[0,5,62]]"
real_only,simple_cnn,10,4,20,file_id_10,10,30,257,0.4785992217898833,0.3649728347714925,0.0,0.5714285714285714,0.5234899328859061,"[[0,63,8],[0,84,35],[0,28,39]]"
real_only,simple_cnn,10,5,20,file_id_10,10,30,257,0.47470817120622566,0.37019885968571825,0.0,0.5254901960784314,0.5851063829787234,"[[0,57,14],[0,67,52],[0,12,55]]"
real_only,simple_cnn,10,6,20,file_id_10,10,30,257,0.42412451361867703,0.23393753200204814,0.0,0.5942857142857143,0.10752688172043011,"[[0,65,6],[0,104,15],[0,62,5]]"
real_only,simple_cnn,10,7,20,file_id_10,10,30,257,0.4396887159533074,0.3113459119496855,0.0,0.5660377358490566,0.368,"[[0,65,6],[0,90,29],[0,44,23]]"
real_only,simple_cnn,10,8,20,file_id_10,10,30,257,0.5097276264591439,0.39896953405017915,0.0,0.5625,0.6344086021505376,"[[0,57,14],[1,72,46],[0,8,59]]"
real_only,simple_cnn,10,9,20,file_id_10,10,30,257,0.43190661478599224,0.2714567483798253,0.0,0.5857988165680473,0.22857142857142856,"[[0,65,6],[0,99,20],[0,55,12]]"
real_only,simple_cnn,25,0,20,file_id_10,10,75,257,0.4085603112840467,0.3510671381085147,0.042105263157894736,0.40336134453781514,0.6077348066298343,"[[2,59,10],[22,48,49],[0,12,55]]"
real_only,simple_cnn,25,1,20,file_id_10,10,75,257,0.46303501945525294,0.4721482004258795,0.47337278106508873,0.31016042780748665,0.6329113924050633,"[[40,23,8],[57,29,33],[1,16,50]]"
real_only,simple_cnn,25,2,20,file_id_10,10,75,257,0.5175097276264592,0.4260478840805078,0.04878048780487805,0.5910652920962199,0.6382978723404256,"[[2,64,5],[9,86,24],[0,22,45]]"
real_only,simple_cnn,25,3,20,file_id_10,10,75,257,0.25680933852140075,0.2523903632599285,0.39285714285714285,0.2077922077922078,0.1565217391304348,"[[33,31,7],[63,24,32],[1,57,9]]"
